OrderNr;Status;Employee;startmoment;Channel;RandomWaarde1;RandomWaarde2;eindmoment
Case754;Order created;Resource 1;12-1-2011 14:25;Internet;69;69;12-1-2011 14:25
Case755;Order created;Resource 1;12-1-2011 14:32;Internet;45;72;12-1-2011 14:41
Case1196;Product received;Resource 4;12-1-2011 14:43;Dealer;97;104;12-1-2011 14:43
Case1196;Reparishop X - Checking;Resource 4;12-1-2011 14:43;Dealer;68;85;12-1-2011 14:43
Case755;Missing documents requested;Resource 2;12-1-2011 14:43;Internet;207;382;12-1-2011 14:47
Case756;Order created;Resource 1;12-1-2011 14:48;Dealer;264;406;12-1-2011 14:48
Case756;Missing documents requested;Resource 2;12-1-2011 14:50;Dealer;2;3;12-1-2011 14:50
Case314;Product received;Resource 4;12-1-2011 14:51;Dealer;105;190;12-1-2011 14:51
Case314;Reparishop X - Checking;Resource 4;12-1-2011 14:51;Dealer;107;154;12-1-2011 15:04
Case662;Missing documents requested;Resource 3;12-1-2011 15:06;Dealer;325;355;12-1-2011 15:06
Case1085;Order created;Resource 1;12-1-2011 15:07;Internet;255;472;12-1-2011 15:12
Case1085;Request signed L1;Resource 2;12-1-2011 15:18;Internet;241;400;12-1-2011 15:19
Case200;Request signed L1;Resource 2;12-1-2011 15:23;Internet;211;244;12-1-2011 15:23
Case200;Missing documents requested;Resource 2;12-1-2011 15:23;Internet;115;155;12-1-2011 15:23
Case200;Request signed L1;Resource 2;12-1-2011 15:24;Internet;188;357;12-1-2011 15:25
Case1142;Request signed L1;Resource 2;12-1-2011 15:26;Internet;79;102;12-1-2011 15:29
Case709;Missing documents requested;Resource 2;12-1-2011 15:31;Dealer;216;376;12-1-2011 15:31
Case1170;Shipment via forwarding company;Resource 2;12-1-2011 15:52;Dealer;298;407;12-1-2011 15:52
Case200;Order sent back;Resource 19;12-1-2011 15:52;Internet;204;297;12-1-2011 15:52
Case1210;Request signed L2;Resource 19;12-1-2011 15:53;Dealer;65;102;12-1-2011 15:53
Case1158;Request signed L2;Resource 19;12-1-2011 15:54;Internet;116;170;12-1-2011 15:54
Case1142;Request signed L2;Resource 19;12-1-2011 15:55;Internet;283;554;12-1-2011 15:55
Case694;Request signed L2;Resource 19;12-1-2011 15:55;Internet;71;138;12-1-2011 15:55
Case1007;Request signed L2;Resource 19;12-1-2011 15:56;Dealer;149;267;12-1-2011 15:56
Case1008;Request signed L2;Resource 19;12-1-2011 15:57;Dealer;158;265;12-1-2011 15:57
Case1097;Request signed L2;Resource 19;12-1-2011 15:58;Dealer;225;343;12-1-2011 15:58
Case1098;Request signed L2;Resource 19;12-1-2011 15:58;Dealer;324;588;12-1-2011 15:58
Case1129;Missing documents requested;Resource 2;12-1-2011 15:58;Internet;325;572;12-1-2011 15:58
Case753;Request signed L2;Resource 19;12-1-2011 15:59;Callcenter;50;61;12-1-2011 15:59
Case1085;Request signed L2;Resource 19;12-1-2011 16:00;Internet;265;473;12-1-2011 16:00
Case1039;Missing documents requested;Resource 2;12-1-2011 16:02;Internet;281;402;12-1-2011 16:02
Case200;Request signed L1;Resource 2;12-1-2011 16:03;Internet;274;373;12-1-2011 16:03
Case200;Request signed L2;Resource 19;12-1-2011 16:36;Internet;204;305;12-1-2011 17:29
Case1085;Request signed L3;Resource 7;12-1-2011 19:25;Internet;52;70;12-1-2011 19:25
Case1008;Request signed L3;Resource 7;12-1-2011 19:26;Dealer;25;33;12-1-2011 19:26
Case1142;Request signed L3;Resource 7;12-1-2011 19:27;Internet;201;225;12-1-2011 19:27
Case1158;Request signed L3;Resource 7;12-1-2011 19:27;Internet;291;530;12-1-2011 19:27
Case694;Request signed L3;Resource 7;12-1-2011 19:27;Internet;289;511;12-1-2011 19:27
Case753;Order sent back;Resource 7;12-1-2011 19:27;Callcenter;64;68;12-1-2011 19:27
Case1210;Order sent back;Resource 7;12-1-2011 19:28;Dealer;200;226;12-1-2011 19:28
Case1007;Request signed L3;Resource 7;12-1-2011 19:29;Dealer;261;496;12-1-2011 19:29
Case200;Request signed L3;Resource 7;12-1-2011 19:29;Internet;62;63;12-1-2011 19:29
Case1097;Request signed L3;Resource 7;12-1-2011 19:30;Dealer;47;86;12-1-2011 19:30
Case1098;Request signed L3;Resource 7;12-1-2011 19:31;Dealer;324;394;20-1-2011 05:16
Case1084;Order created;Resource 1;12-2-2011 08:17;Dealer;97;160;12-2-2011 08:19
Case1185;Product received;Resource 5;12-2-2011 08:22;Dealer;159;212;12-2-2011 08:22
Case1185;Reparishop X - Checking;Resource 5;12-2-2011 08:23;Dealer;102;138;12-2-2011 08:25
Case1084;Missing documents requested;Resource 2;12-2-2011 08:28;Dealer;262;476;12-2-2011 08:30
Case228;Repairshop X - OK;Resource 5;12-2-2011 08:31;Dealer;317;577;12-2-2011 08:33
Case1115;Shipment via logistics partner;Resource 2;12-2-2011 08:39;Dealer;86;100;12-2-2011 08:39
Case200;Pick-up prepared;Resource 11;12-2-2011 08:40;Internet;315;389;12-2-2011 08:40
Case295;Pick-up prepared;Resource 11;12-2-2011 08:40;Dealer;259;349;12-2-2011 08:40
Case177;Pick-up prepared;Resource 11;12-2-2011 08:41;Internet;143;227;12-2-2011 08:41
Case661;Pick-up prepared;Resource 11;12-2-2011 08:41;Dealer;41;79;12-2-2011 08:41
Case663;Pick-up prepared;Resource 11;12-2-2011 08:42;Internet;192;295;12-2-2011 08:42
Case676;Pick-up prepared;Resource 11;12-2-2011 08:42;Internet;304;369;12-2-2011 08:42
Case1158;Pick-up prepared;Resource 11;12-2-2011 08:43;Internet;217;306;12-2-2011 08:43
Case694;Pick-up prepared;Resource 11;12-2-2011 08:43;Internet;219;361;12-2-2011 08:43
Case1083;Order created;Resource 1;12-2-2011 08:44;Dealer;5;9;12-2-2011 08:44
Case1142;Pick-up prepared;Resource 11;12-2-2011 08:44;Internet;111;113;12-2-2011 08:44
Case1007;Pick-up prepared;Resource 11;12-2-2011 08:47;Dealer;305;589;12-2-2011 08:47
Case1008;Pick-up prepared;Resource 11;12-2-2011 08:47;Dealer;273;408;12-2-2011 08:47
Case708;Pick-up prepared;Resource 11;12-2-2011 08:48;Callcenter;148;237;12-2-2011 08:48
Case723;Pick-up prepared;Resource 11;12-2-2011 08:48;Callcenter;237;450;12-2-2011 08:48
Case1098;Pick-up prepared;Resource 11;12-2-2011 08:49;Dealer;161;231;12-2-2011 08:49
Case1099;Pick-up prepared;Resource 11;12-2-2011 08:49;Dealer;2;2;12-2-2011 08:49
Case298;Repairshop X - OK;Resource 5;12-2-2011 08:49;Dealer;203;264;12-2-2011 08:49
Case1085;Pick-up prepared;Resource 11;12-2-2011 08:50;Internet;186;240;12-2-2011 08:50
Case1097;Pick-up prepared;Resource 11;12-2-2011 08:50;Dealer;211;355;12-2-2011 08:50
Case1130;Order created;Resource 1;12-2-2011 08:50;Dealer;218;427;12-2-2011 08:50
Case739;Product checked;Resource 11;12-2-2011 08:52;Callcenter;215;366;12-2-2011 08:54
Case1130;Request rejected L1;Resource 2;12-2-2011 08:55;Dealer;323;557;12-2-2011 08:55
Case1130;Order completed;Resource 2;12-2-2011 08:55;Dealer;266;366;12-2-2011 09:01
Case214;Product received;Resource 17;12-2-2011 09:06;Dealer;33;59;12-2-2011 09:06
Case214;Reparishop X - Checking;Resource 17;12-2-2011 09:07;Dealer;55;78;12-2-2011 09:07
Case1131;Order created;Resource 1;12-2-2011 09:13;Dealer;223;340;12-2-2011 09:16
Case191;Repairshop X - OK;Resource 5;12-2-2011 09:19;Dealer;35;43;12-2-2011 09:21
Case1131;Missing documents requested;Resource 2;12-2-2011 09:22;Dealer;230;348;12-2-2011 09:24
Case767;Order created;Resource 1;12-2-2011 09:39;Dealer;293;299;12-2-2011 09:43
Case767;Shipment via logistics partner;Resource 2;12-2-2011 09:46;Dealer;324;565;12-2-2011 09:52
Case726;Shipment via logistics partner;Resource 2;12-2-2011 09:55;Dealer;300;370;12-2-2011 09:56
Case768;Order created;Resource 1;12-2-2011 09:59;Dealer;9;10;12-2-2011 10:04
Case768;Missing documents requested;Resource 2;12-2-2011 10:06;Dealer;290;318;12-2-2011 10:06
Case769;Order created;Resource 1;12-2-2011 10:10;Dealer;251;341;12-2-2011 10:14
Case769;Shipment via logistics partner;Resource 2;12-2-2011 10:15;Dealer;271;516;12-2-2011 10:17
Case234;Special Refund issued;Resource 14;12-2-2011 10:19;Dealer;113;160;12-2-2011 10:20
Case770;Order created;Resource 1;12-2-2011 10:21;Dealer;89;138;12-2-2011 10:23
Case1185;Repairshop X - OK;Resource 5;12-2-2011 10:26;Dealer;11;18;12-2-2011 10:26
Case312;Product received;Resource 4;12-2-2011 10:26;Dealer;220;439;12-2-2011 10:26
Case312;Reparishop X - Checking;Resource 4;12-2-2011 10:26;Dealer;57;104;12-2-2011 10:26
Case770;Shipment via logistics partner;Resource 2;12-2-2011 10:26;Dealer;120;158;12-2-2011 10:27
Case771;Order created;Resource 1;12-2-2011 10:30;Dealer;114;195;12-2-2011 10:30
Case646;Product received;Resource 4;12-2-2011 10:33;Dealer;9;15;12-2-2011 10:33
Case646;Reparishop X - Checking;Resource 4;12-2-2011 10:33;Dealer;10;12;12-2-2011 10:33
Case771;Shipment via logistics partner;Resource 2;12-2-2011 10:37;Dealer;143;237;12-2-2011 10:41
Case901;Order created;Resource 1;12-2-2011 10:43;Dealer;284;411;12-2-2011 10:45
Case901;Shipment via logistics partner;Resource 2;12-2-2011 10:49;Dealer;242;267;12-2-2011 10:54
Case900;Order created;Resource 1;12-2-2011 10:54;Dealer;258;281;12-2-2011 10:54
Case900;Missing documents requested;Resource 2;12-2-2011 10:58;Dealer;32;37;12-2-2011 11:03
Case899;Order created;Resource 1;12-2-2011 11:05;Dealer;241;444;12-2-2011 11:08
Case899;Missing documents requested;Resource 2;12-2-2011 11:09;Dealer;283;316;12-2-2011 11:17
Case1184;Missing documents requested;Resource 2;12-2-2011 11:31;Dealer;111;202;12-2-2011 11:32
Case1143;Product received;Resource 4;12-2-2011 11:40;Dealer;72;130;12-2-2011 11:40
Case1143;Reparishop X - Checking;Resource 4;12-2-2011 11:40;Dealer;171;254;12-2-2011 11:42
Case1072;Missing documents requested;Resource 2;12-2-2011 11:43;Dealer;217;425;12-2-2011 11:45
Case331;Missing documents requested;Resource 2;12-2-2011 11:46;Dealer;270;453;12-2-2011 11:50
Case664;Shipment via logistics partner;Resource 2;12-2-2011 11:54;Dealer;236;369;12-2-2011 11:58
Case692;Request signed L1;Resource 2;12-2-2011 12:04;Internet;114;163;12-2-2011 12:04
Case1097;Order completed;Resource 13;12-2-2011 12:05;Dealer;229;367;12-2-2011 12:06
Case753;Request signed L1;Resource 13;12-2-2011 12:15;Callcenter;242;406;12-2-2011 12:15
Case387;Request signed L1;Resource 2;12-2-2011 12:20;Dealer;254;309;12-2-2011 12:21
Case1102;Order created;Resource 1;12-2-2011 12:22;Dealer;139;270;12-2-2011 12:22
Case692;Request signed L2;Resource 6;12-2-2011 12:22;Internet;194;288;12-2-2011 12:22
Case387;Request signed L2;Resource 6;12-2-2011 12:23;Dealer;181;215;12-2-2011 12:24
Case248;Missing documents requested;Resource 2;12-2-2011 12:25;Dealer;44;75;12-2-2011 12:29
Case680;Request signed L1;Resource 2;12-2-2011 12:31;Dealer;212;344;12-2-2011 12:31
Case1102;Missing documents requested;Resource 3;12-2-2011 12:32;Dealer;46;81;12-2-2011 12:32
Case754;Missing documents requested;Resource 2;12-2-2011 12:33;Internet;240;395;12-2-2011 12:36
Case677;Product received;Resource 4;12-2-2011 12:38;Dealer;287;535;12-2-2011 12:38
Case677;Reparishop X - Checking;Resource 4;12-2-2011 12:39;Dealer;283;283;12-2-2011 12:39
Case1103;Order created;Resource 1;12-2-2011 12:42;Dealer;292;577;12-2-2011 12:42
Case1103;Missing documents requested;Resource 2;12-2-2011 12:45;Dealer;89;91;12-2-2011 12:45
Case17;Product received;Resource 4;12-2-2011 12:47;Dealer;73;74;12-2-2011 12:47
Case17;Reparishop X - Checking;Resource 4;12-2-2011 12:48;Dealer;159;269;12-2-2011 12:48
Case754;Request signed L1;Resource 2;12-2-2011 12:49;Internet;307;308;12-2-2011 12:53
Case1159;Product received;Resource 4;12-2-2011 12:58;Dealer;50;91;12-2-2011 12:58
Case1159;Reparishop X - Checking;Resource 4;12-2-2011 12:58;Dealer;128;237;12-2-2011 13:07
Case647;Product received;Resource 4;12-2-2011 13:15;Dealer;226;366;12-2-2011 13:15
Case647;Reparishop X - Checking;Resource 4;12-2-2011 13:15;Dealer;30;48;12-2-2011 13:18
Case695;Product received;Resource 4;12-2-2011 13:21;Dealer;53;66;12-2-2011 13:21
Case695;Reparishop X - Checking;Resource 4;12-2-2011 13:22;Dealer;202;229;12-2-2011 13:27
Case314;Repairshop X - Rejected;Resource 5;12-2-2011 13:28;Dealer;238;452;12-2-2011 13:29
Case1129;Request signed L1;Resource 3;12-2-2011 13:31;Internet;70;120;12-2-2011 13:31
Case212;Missing documents requested;Resource 2;12-2-2011 13:31;Internet;232;377;12-2-2011 13:31
Case904;Product received;Resource 4;12-2-2011 13:35;Dealer;296;457;12-2-2011 13:35
Case904;Reparishop X - Checking;Resource 4;12-2-2011 13:35;Dealer;268;305;12-2-2011 13:36
Case1039;Request signed L1;Resource 3;12-2-2011 13:39;Internet;318;416;12-2-2011 13:41
Case296;Repairshop X - Rejected;Resource 5;12-2-2011 13:42;Dealer;238;343;12-2-2011 13:42
Case693;Product received;Resource 4;12-2-2011 13:44;Dealer;314;462;12-2-2011 13:44
Case693;Reparishop X - Checking;Resource 4;12-2-2011 13:44;Dealer;284;460;12-2-2011 13:44
Case1128;Missing documents requested;Resource 2;12-2-2011 13:47;Dealer;159;203;12-2-2011 13:47
Case680;Order sent back;Resource 6;12-2-2011 13:47;Dealer;219;251;12-2-2011 13:49
Case1144;Product received;Resource 4;12-2-2011 13:50;Dealer;70;105;12-2-2011 13:50
Case1144;Reparishop X - Checking;Resource 4;12-2-2011 13:50;Dealer;239;397;12-2-2011 13:50
Case754;Request signed L2;Resource 6;12-2-2011 13:51;Internet;165;231;12-2-2011 13:53
Case1129;Request signed L2;Resource 6;12-2-2011 13:54;Internet;316;479;12-2-2011 13:57
Case1039;Request signed L2;Resource 6;12-2-2011 13:59;Internet;135;146;12-2-2011 13:59
Case755;Request signed L1;Resource 2;12-2-2011 13:59;Internet;52;75;12-2-2011 13:59
Case919;Order created;Resource 1;12-2-2011 13:59;Dealer;194;233;12-2-2011 13:59
Case919;Missing documents requested;Resource 3;12-2-2011 14:00;Dealer;23;29;12-2-2011 14:01
Case755;Request signed L2;Resource 6;12-2-2011 14:02;Internet;17;24;12-2-2011 14:04
Case920;Order created;Resource 1;12-2-2011 14:05;Dealer;288;573;12-2-2011 14:05
Case1072;Request signed L1;Resource 2;12-2-2011 14:06;Dealer;121;231;12-2-2011 14:07
Case920;Missing documents requested;Resource 3;12-2-2011 14:09;Dealer;43;55;12-2-2011 14:09
Case1197;Product received;Resource 4;12-2-2011 14:10;Dealer;19;35;12-2-2011 14:10
Case1197;Reparishop X - Checking;Resource 4;12-2-2011 14:10;Dealer;222;428;12-2-2011 14:10
Case709;Request signed L1;Resource 2;12-2-2011 14:10;Dealer;111;130;12-2-2011 14:12
Case906;Product received;Resource 4;12-2-2011 14:14;Dealer;239;296;12-2-2011 14:14
Case906;Reparishop X - Checking;Resource 4;12-2-2011 14:14;Dealer;188;237;12-2-2011 14:14
Case921;Order created;Resource 1;12-2-2011 14:14;Internet;74;74;12-2-2011 14:14
Case921;Missing documents requested;Resource 3;12-2-2011 14:17;Internet;187;202;12-2-2011 14:20
Case922;Order created;Resource 1;12-2-2011 14:22;Dealer;281;503;12-2-2011 14:23
Case1072;Request signed L2;Resource 6;12-2-2011 14:24;Dealer;60;109;12-2-2011 14:25
Case922;Missing documents requested;Resource 3;12-2-2011 14:26;Dealer;50;87;12-2-2011 14:27
Case709;Request signed L2;Resource 6;12-2-2011 14:28;Dealer;114;224;12-2-2011 14:30
Case680;Request rejected L1;Resource 2;12-2-2011 14:31;Dealer;297;499;12-2-2011 14:31
Case923;Order created;Resource 1;12-2-2011 14:33;Dealer;67;79;12-2-2011 14:33
Case923;Missing documents requested;Resource 3;12-2-2011 14:36;Dealer;286;543;12-2-2011 14:36
Case974;Product received;Resource 4;12-2-2011 14:36;Dealer;61;74;12-2-2011 14:36
Case974;Reparishop X - Checking;Resource 4;12-2-2011 14:36;Dealer;64;107;12-2-2011 14:40
Case214;Repairshop X - OK;Resource 5;12-2-2011 14:42;Dealer;322;356;12-2-2011 14:43
Case680;Order completed;Resource 2;12-2-2011 14:44;Dealer;229;353;12-2-2011 14:44
Case888;Order created;Resource 1;12-2-2011 14:45;Dealer;260;351;12-2-2011 14:45
Case1185;Request signed L1;Resource 2;12-2-2011 14:46;Dealer;322;408;12-2-2011 14:46
Case191;Request signed L1;Resource 2;12-2-2011 14:47;Dealer;52;80;12-2-2011 14:47
Case1185;Request signed L2;Resource 6;12-2-2011 14:48;Dealer;41;69;12-2-2011 14:51
Case298;Request signed L1;Resource 2;12-2-2011 14:52;Dealer;328;470;12-2-2011 14:52
Case191;Request signed L2;Resource 6;12-2-2011 14:53;Dealer;117;177;12-2-2011 14:53
Case298;Request signed L2;Resource 6;12-2-2011 14:56;Dealer;105;186;12-2-2011 14:56
Case228;Request signed L1;Resource 2;12-2-2011 14:57;Dealer;298;326;12-2-2011 14:58
Case888;Request signed L1;Resource 3;12-2-2011 14:59;Dealer;93;158;12-2-2011 15:00
Case214;Request signed L1;Resource 2;12-2-2011 15:01;Dealer;144;261;12-2-2011 15:01
Case887;Order created;Resource 1;12-2-2011 15:10;Callcenter;222;302;12-2-2011 15:12
Case214;Request signed L2;Resource 6;12-2-2011 15:13;Dealer;65;86;12-2-2011 15:13
Case1196;Repairshop X - Rejected;Resource 5;12-2-2011 15:14;Dealer;87;152;12-2-2011 15:15
Case753;Order sent back;Resource 6;12-2-2011 15:16;Callcenter;180;355;12-2-2011 15:16
Case887;Missing documents requested;Resource 3;12-2-2011 15:16;Callcenter;60;120;12-2-2011 15:17
Case228;Request signed L2;Resource 6;12-2-2011 15:18;Dealer;136;204;12-2-2011 15:18
Case753;Request signed L1;Resource 15;12-2-2011 15:19;Callcenter;284;320;12-2-2011 15:23
Case1171;Product received;Resource 4;12-2-2011 15:25;Dealer;331;360;12-2-2011 15:25
Case1171;Reparishop X - Checking;Resource 4;12-2-2011 15:25;Dealer;175;199;12-2-2011 15:25
Case753;Request signed L2;Resource 6;12-2-2011 15:26;Callcenter;83;112;12-2-2011 15:26
Case888;Request signed L2;Resource 6;12-2-2011 15:26;Dealer;3;3;12-2-2011 15:30
Case886;Order created;Resource 1;12-2-2011 15:31;Dealer;41;52;12-2-2011 15:32
Case296;Request rejected L1;Resource 2;12-2-2011 15:38;Dealer;242;344;12-2-2011 15:38
Case886;Missing documents requested;Resource 3;12-2-2011 15:38;Dealer;332;650;12-2-2011 15:38
Case296;Order completed;Resource 2;12-2-2011 15:39;Dealer;312;425;12-2-2011 15:39
Case314;Request rejected L1;Resource 2;12-2-2011 15:41;Dealer;261;397;12-2-2011 15:41
Case314;Order completed;Resource 2;12-2-2011 15:41;Dealer;161;231;12-2-2011 15:41
Case1196;Request rejected L1;Resource 2;12-2-2011 15:43;Dealer;196;388;12-2-2011 15:43
Case1196;Order completed;Resource 2;12-2-2011 15:43;Dealer;272;422;12-2-2011 15:47
Case177;Shipment via forwarding company;Resource 3;12-2-2011 15:49;Internet;161;304;12-2-2011 15:53
Case1145;Order created;Resource 1;12-2-2011 15:55;Dealer;67;70;12-2-2011 15:57
